symbol,n
600927,841
600928,850
600929,826
600933,833
600956,633
600959,622
600963,577
600966,849
600967,849
600968,839
600969,826
600970,829
600971,819
600976,801
600977,853
600979,594
600980,835
600982,818
600985,828
600986,474
600990,123
600992,453
600993,629
600995,820
600997,815
600998,827
601000,819
601001,858
601002,807
601015,109
601016,674
601019,840
601033,404
601038,834
601061,642
601069,834
601083,467
601089,800
601096,443
601098,849
601101,830
601107,830
601108,846
601116,828
601118,611
601121,639
601126,819
601128,821
601133,631
601137,823
601139,835
601156,854
601158,831
601222,713
601226,841
601228,854
601231,832
601233,849
601236,819
601298,716
601311,846
601326,851
601330,845
601333,838
601339,832
601375,675
601388,820
601500,355
601515,377
601528,808
601566,825
601567,829
601568,836
601577,856
601579,825
601595,682
601598,841
601606,370
601608,861
601609,824
601611,844
601616,606
601619,833
601636,828
601665,849
601666,838
601677,831
601678,820
601696,688
601699,842
601700,607
601702,827
601717,833
601778,843
601789,850
601799,812
601801,846
601808,830
601827,828
601828,129
601858,855
601860,828
601865,833
601866,655
601869,640
601880,852
601882,801
601886,803
601890,836
601900,856
601908,370
601918,751
601921,838
601928,678
601952,841
601958,629
601963,847
601965,848
601966,838
601975,819
601990,659
601991,713
601992,855
601996,343
601997,829
603000,855
603002,831
603004,434
603005,810
603007,480
603009,821
603010,824
603012,824
603015,831
603016,834
603020,843
603025,811
603026,816
603027,859
603030,238
603031,802
603032,824
603033,373
603036,819
603038,834
603039,815
603040,839
603045,829
603049,103
603050,808
603051,629
603052,503
603057,765
603058,579
603061,606
603063,810
603065,631
603067,853
603068,849
603072,195
603075,497
603077,427
603082,429
603083,813
603087,820
603088,836
603090,811
603093,575
603097,845
603099,850
603100,817
603101,779
603103,699
603105,822
603108,614
603110,614
603112,814
603115,843
603119,523
603186,810
603187,828
603191,830
603192,827
603193,484
603194,198
603195,824
603196,348
603197,834
603198,831
603199,815
603200,839
603201,799
603202,128
603203,827
603206,824
603211,811
603212,340
603217,843
603218,859
603219,823
603220,856
603222,102
603223,829
603225,838
603226,99
603227,816
603228,811
603229,855
603232,597
603233,840
603236,822
603256,828
603257,141
603261,102
603262,89
603267,813
603269,842
603270,514
603271,158
603278,377
603279,822
603281,681
603283,822
603285,339
603286,565
603290,833
603297,834
603298,820
603299,835
603300,608
603301,835
603303,830
603306,833
603308,848
603313,489
603315,854
603317,806
603318,611
603319,828
603323,835
603324,604
603327,828
603328,839
603330,373
603331,608
603333,641
603336,845
603337,830
603338,837
603339,858
603341,397
603344,136
603345,837
603353,823
603355,446
603358,839
603360,579
603366,834
603367,824
603368,833
603373,444
603375,443
603379,824
603380,827
603381,89
603383,820
603386,349
603387,833
603390,823
603391,283
603393,367
603395,222
603396,831
603399,85
603400,113
603416,856
603439,842
603444,815
603456,828
603458,339
603466,825
603477,844
603486,848
603488,605
603489,828
603499,834
603500,836
603505,851
603507,853
603508,815
603516,835
603519,849
603520,824
603527,836
603528,596
603529,820
603530,830
603533,586
603538,849
603556,847
603558,803
603559,478
603565,820
603567,637
603568,818
603577,815
603579,829
603583,825
603588,800
603589,840
603590,848
603596,807
603599,851
603601,826
603605,858
603606,818
603607,833
603610,818
603612,835
603613,614
603615,829
603618,578
603619,824
603626,348
603629,847
603630,599
603633,640
603636,362
603699,841
603700,836
603701,821
603703,362
603707,828
603711,837
603712,352
603713,819
603719,824
603725,850
603726,834
603727,806
603728,835
603730,825
603733,844
603737,822
603738,836
603757,827
603766,820
603773,612
603777,362
603786,822
603790,826
603800,608
603803,99
603806,819
603809,824
603815,612
603816,846
603817,860
603818,464
603819,831
603823,825
603826,852
603829,848
603833,839
603858,664
603859,828
603861,663
603866,821
603867,830
603871,840
603876,841
603878,830
603881,836
603882,750
603883,845
603885,829
603888,859
603969,849
603976,820
603977,844
603979,849
603983,854
603985,817
603988,821
603989,843
603990,122
603991,753
603992,821
603995,825
603997,807
603998,820
605006,338
605007,822
605011,821
605016,823
605018,837
605020,821
605056,823
605058,843
605060,846
605088,825
605090,833
605098,825
605099,831
605100,817
605111,833
605116,832
605118,834
605123,802
605128,821
605133,835
605136,420
605155,818
605162,839
605167,829
605168,818
605179,827
605186,398
605189,835
605196,606
605198,849
605208,825
605222,839
605228,811
605277,834
605287,850
605288,828
605289,815
688010,596
688016,826
688017,850
688018,825
688019,829
688020,594
688023,363
688025,833
688027,808
688028,822
688029,836
688032,593
688035,742
688037,606
688039,115
688045,804
688046,828
688048,102
688049,838
688050,834
688052,96
688055,156
688056,831
688057,849
688059,853
688061,741
688063,819
688065,623
688068,361
688069,833
688073,739
688081,105
688083,825
688084,215
688085,830
688087,840
688088,840
688090,839
688091,329
688093,818
688095,830
688096,611
688097,856
688099,816
688100,789
688101,849
688102,856
688103,845
688105,824
688106,816
688110,97
688112,829
688114,49
688115,851
688116,842
688117,826
688120,822
688122,858
688123,799
688125,352
688127,820
688128,833
688130,543
688131,851
688133,594
688135,332
688136,832
688138,835
688139,835
688147,699
688150,828
688151,835
688153,365
688155,817
688156,368
688159,614
688160,811
688163,821
688166,828
688167,829
688168,817
688169,856
688170,343
688171,849
688172,210
688178,136
688179,843
688181,825
688182,839
688186,588
688187,674
688188,841
688190,830
688195,821
688196,837
688198,818
688199,840
688200,830
688202,99
688205,624
688206,852
688207,109
688208,809
