scenario,factor,h,regime,ic_lo,ic_hi,dIC,dt,n_hi,n_lo,dIC_h1,dIC_h2,stable,dt_adj_sqrtN,pass_bonf_z
all,std20,5,blow_rate,-0.02,-0.0813,-0.0613,-2.24,163,166,-0.0502,-0.0825,True,-0.286,False
all,std20,5,max_board_height,-0.0696,-0.0512,0.0184,0.66,158,152,-0.0078,0.0355,False,0.084,False
all,std20,5,lu_premium_1d,-0.0529,-0.0538,-0.0009,-0.04,166,164,-0.0031,-0.003,True,-0.005,False
all,std20,10,limit_up_count,-0.051,-0.063,-0.012,-0.43,161,156,-0.0109,-0.0041,True,-0.055,False
all,std20,10,limit_up_count_ma5,-0.0452,-0.0762,-0.031,-1.18,163,165,-0.0382,-0.0199,True,-0.151,False
all,std20,10,blow_rate,-0.0155,-0.0862,-0.0707,-2.7,162,163,-0.0458,-0.1043,True,-0.345,False
all,std20,10,max_board_height,-0.0671,-0.0524,0.0147,0.54,156,152,-0.0126,0.0272,False,0.069,False
all,std20,10,lu_premium_1d,-0.0748,-0.0365,0.0383,1.41,165,162,0.0368,0.0296,True,0.18,False
all,amp5,1,limit_up_count,-0.0395,-0.0773,-0.0378,-1.4,166,158,-0.0308,-0.0447,True,-0.179,False
all,amp5,1,limit_up_count_ma5,-0.0583,-0.0661,-0.0079,-0.31,167,165,-0.0241,0.008,False,-0.04,False
all,amp5,1,blow_rate,-0.0617,-0.0584,0.0033,0.13,166,167,0.027,-0.0094,False,0.017,False
all,amp5,1,max_board_height,-0.0547,-0.0607,-0.006,-0.22,158,152,-0.0413,0.032,False,-0.028,False
all,amp5,1,lu_premium_1d,-0.0602,-0.0606,-0.0003,-0.01,167,167,-0.0779,0.075,False,-0.001,False
all,amp5,3,limit_up_count,-0.0638,-0.0758,-0.012,-0.46,165,157,-0.0232,0.0055,False,-0.059,False
all,amp5,3,limit_up_count_ma5,-0.0571,-0.0876,-0.0305,-1.26,167,165,-0.0551,-0.0082,True,-0.161,False
all,amp5,3,blow_rate,-0.0525,-0.0724,-0.0199,-0.77,165,166,-0.0108,-0.027,True,-0.098,False
all,amp5,3,max_board_height,-0.0915,-0.0572,0.0343,1.3,158,152,-0.0122,0.0737,False,0.166,False
all,amp5,3,lu_premium_1d,-0.0811,-0.064,0.0172,0.67,166,166,-0.0113,0.0422,False,0.086,False
all,amp5,5,limit_up_count,-0.0647,-0.0781,-0.0134,-0.5,165,156,-0.0258,0.0052,False,-0.064,False
all,amp5,5,limit_up_count_ma5,-0.0556,-0.0793,-0.0237,-0.95,165,165,-0.0414,-0.0076,True,-0.121,False
all,amp5,5,blow_rate,-0.0391,-0.0891,-0.05,-1.95,163,166,-0.0329,-0.0677,True,-0.249,False
all,amp5,5,max_board_height,-0.0823,-0.0587,0.0236,0.91,158,152,0.0018,0.0408,True,0.116,False
all,amp5,5,lu_premium_1d,-0.0698,-0.0633,0.0065,0.26,166,164,0.0001,0.0119,True,0.033,False
all,amp5,10,limit_up_count,-0.0546,-0.0762,-0.0216,-0.83,161,156,-0.0334,-0.0037,True,-0.106,False
all,amp5,10,limit_up_count_ma5,-0.0409,-0.0916,-0.0507,-2.09,163,165,-0.0685,-0.0309,True,-0.267,False
all,amp5,10,blow_rate,-0.0255,-0.0949,-0.0694,-2.83,162,163,-0.0342,-0.1023,True,-0.361,False
all,amp5,10,max_board_height,-0.0684,-0.0652,0.0032,0.12,156,152,-0.0211,0.0211,False,0.015,False
all,amp5,10,lu_premium_1d,-0.0867,-0.0432,0.0435,1.73,165,162,0.0464,0.0353,True,0.221,False
all,to_level,1,limit_up_count,-0.022,-0.0558,-0.0337,-1.25,166,158,-0.0094,-0.0579,True,-0.16,False
all,to_level,1,limit_up_count_ma5,-0.0401,-0.0455,-0.0053,-0.2,167,165,-0.0076,-0.0025,True,-0.026,False
all,to_level,1,blow_rate,-0.0434,-0.0449,-0.0015,-0.06,166,167,0.0067,-0.0044,False,-0.008,False
all,to_level,1,max_board_height,-0.045,-0.0423,0.0027,0.1,158,152,-0.0286,0.0397,False,0.013,False
all,to_level,1,lu_premium_1d,-0.0319,-0.0497,-0.0178,-0.66,167,167,-0.0808,0.0429,False,-0.084,False
all,to_level,3,limit_up_count,-0.046,-0.0566,-0.0107,-0.41,165,157,-0.0105,-0.0032,True,-0.052,False
all,to_level,3,limit_up_count_ma5,-0.0481,-0.0631,-0.0151,-0.6,167,165,-0.0202,-0.0121,True,-0.077,False
all,to_level,3,blow_rate,-0.033,-0.0588,-0.0258,-1.02,165,166,-0.0329,-0.0241,True,-0.13,False
all,to_level,3,max_board_height,-0.0811,-0.0345,0.0466,1.73,158,152,0.0006,0.0864,True,0.221,False
all,to_level,3,lu_premium_1d,-0.0538,-0.0515,0.0023,0.09,166,166,-0.0294,0.0298,False,0.011,False
all,to_level,5,limit_up_count,-0.0474,-0.0602,-0.0128,-0.48,165,156,-0.0118,-0.0044,True,-0.061,False
all,to_level,5,limit_up_count_ma5,-0.0476,-0.0564,-0.0088,-0.34,165,165,-0.0093,-0.009,True,-0.043,False
all,to_level,5,blow_rate,-0.0244,-0.0687,-0.0443,-1.74,163,166,-0.0406,-0.0602,True,-0.222,False
all,to_level,5,max_board_height,-0.0715,-0.0395,0.0321,1.22,158,152,0.0125,0.0401,True,0.156,False
all,to_level,5,lu_premium_1d,-0.0426,-0.0484,-0.0058,-0.23,166,164,-0.023,0.0066,False,-0.029,False
all,to_level,10,limit_up_count,-0.0449,-0.0665,-0.0216,-0.8,161,156,-0.0154,-0.0191,True,-0.102,False
all,to_level,10,limit_up_count_ma5,-0.0377,-0.0755,-0.0378,-1.49,163,165,-0.0374,-0.0348,True,-0.19,False
all,to_level,10,blow_rate,-0.0208,-0.0795,-0.0587,-2.31,162,163,-0.0447,-0.0872,True,-0.295,False
all,to_level,10,max_board_height,-0.0666,-0.0442,0.0225,0.86,156,152,-0.0022,0.031,False,0.11,False
all,to_level,10,lu_premium_1d,-0.0626,-0.038,0.0247,0.96,165,162,0.0249,0.0132,True,0.123,False
all,to_trend,1,limit_up_count,-0.0276,-0.0451,-0.0175,-1.34,166,158,-0.0571,0.0268,False,-0.171,False
all,to_trend,1,limit_up_count_ma5,-0.0335,-0.0406,-0.0071,-0.56,167,165,-0.0309,0.0172,False,-0.071,False
all,to_trend,1,blow_rate,-0.0445,-0.0256,0.0189,1.53,166,167,0.0489,-0.0062,False,0.195,False
all,to_trend,1,max_board_height,-0.0264,-0.0479,-0.0215,-1.64,158,152,-0.0325,-0.0127,True,-0.209,False
all,to_trend,1,lu_premium_1d,-0.0327,-0.044,-0.0113,-0.86,167,167,-0.014,-0.0085,True,-0.11,False
all,to_trend,3,limit_up_count,-0.0338,-0.051,-0.0172,-1.39,165,157,-0.0587,0.027,False,-0.177,False
all,to_trend,3,limit_up_count_ma5,-0.0349,-0.0505,-0.0156,-1.28,167,165,-0.0543,0.0245,False,-0.163,False
all,to_trend,3,blow_rate,-0.0409,-0.0334,0.0075,0.62,165,166,0.0215,0.0019,True,0.079,False
all,to_trend,3,max_board_height,-0.031,-0.0562,-0.0253,-2.01,158,152,-0.0387,-0.009,True,-0.257,False
all,to_trend,3,lu_premium_1d,-0.0339,-0.0475,-0.0136,-1.12,166,166,-0.0088,-0.0156,True,-0.143,False
all,to_trend,5,limit_up_count,-0.031,-0.0513,-0.0204,-1.64,165,156,-0.0653,0.0283,False,-0.209,False
all,to_trend,5,limit_up_count_ma5,-0.0323,-0.0512,-0.019,-1.54,165,165,-0.0525,0.0163,False,-0.197,False
all,to_trend,5,blow_rate,-0.0484,-0.0347,0.0137,1.1,163,166,0.0379,-0.0006,False,0.14,False
all,to_trend,5,max_board_height,-0.0319,-0.0537,-0.0218,-1.78,158,152,-0.046,0.0024,False,-0.227,False
all,to_trend,5,lu_premium_1d,-0.0277,-0.0526,-0.0249,-2.03,166,164,-0.0266,-0.0192,True,-0.259,False
all,to_trend,10,limit_up_count,-0.0338,-0.0507,-0.0168,-1.5,161,156,-0.0382,0.0055,False,-0.191,False
all,to_trend,10,limit_up_count_ma5,-0.0283,-0.0572,-0.0289,-2.71,163,165,-0.0404,-0.0178,True,-0.346,False
all,to_trend,10,blow_rate,-0.0454,-0.0358,0.0096,0.87,162,163,0.0236,0.0036,True,0.111,False
all,to_trend,10,max_board_height,-0.0255,-0.0533,-0.0278,-2.5,156,152,-0.0286,-0.0221,True,-0.319,False
all,to_trend,10,lu_premium_1d,-0.0344,-0.0469,-0.0126,-1.13,165,162,-0.0084,-0.0127,True,-0.144,False
all,amihud20,1,limit_up_count,0.0319,0.0372,0.0053,0.26,166,158,0.0036,0.0042,True,0.033,False
all,amihud20,1,limit_up_count_ma5,0.0387,0.0252,-0.0135,-0.68,167,165,-0.0183,-0.0081,True,-0.087,False
all,amihud20,1,blow_rate,0.0269,0.0337,0.0068,0.36,166,167,0.0176,-0.0018,False,0.046,False
all,amihud20,1,max_board_height,0.0245,0.0378,0.0133,0.69,158,152,0.0211,0.0018,True,0.088,False
all,amihud20,1,lu_premium_1d,0.0432,0.0269,-0.0163,-0.86,167,167,-0.0097,-0.021,True,-0.11,False
all,amihud20,3,limit_up_count,0.0536,0.0555,0.0019,0.1,165,157,-0.0095,0.012,False,0.013,False
all,amihud20,3,limit_up_count_ma5,0.0559,0.0412,-0.0147,-0.82,167,165,-0.0309,0.0028,False,-0.105,False
all,amihud20,3,blow_rate,0.0403,0.0486,0.0083,0.48,165,166,0.0195,-0.0023,False,0.061,False
all,amihud20,3,max_board_height,0.037,0.065,0.028,1.48,158,152,0.0576,0.0084,True,0.189,False
all,amihud20,3,lu_premium_1d,0.0494,0.0509,0.0015,0.09,166,166,0.0079,-0.0026,False,0.011,False
all,amihud20,5,limit_up_count,0.073,0.0568,-0.0162,-0.93,165,156,-0.0224,-0.0096,True,-0.119,False
all,amihud20,5,limit_up_count_ma5,0.0529,0.0536,0.0007,0.04,165,165,-0.0227,0.0267,False,0.005,False
all,amihud20,5,blow_rate,0.04,0.0707,0.0307,1.86,163,166,0.0331,0.0289,True,0.237,False
all,amihud20,5,max_board_height,0.0401,0.0677,0.0275,1.6,158,152,0.0175,0.0294,True,0.204,False
all,amihud20,5,lu_premium_1d,0.0571,0.0659,0.0088,0.54,166,164,-0.0208,0.0369,False,0.069,False
all,amihud20,10,limit_up_count,0.0753,0.0817,0.0065,0.37,161,156,-0.0066,0.026,False,0.047,False
all,amihud20,10,limit_up_count_ma5,0.0624,0.0784,0.0161,0.91,163,165,0.0145,0.0193,True,0.116,False
all,amihud20,10,blow_rate,0.0623,0.0782,0.0159,0.94,162,163,0.0204,-0.0068,False,0.12,False
all,amihud20,10,max_board_height,0.0563,0.0849,0.0286,1.6,156,152,0.0122,0.0334,True,0.204,False
all,amihud20,10,lu_premium_1d,0.0832,0.0775,-0.0057,-0.34,165,162,-0.0045,-0.0117,True,-0.043,False
all,vp_div,1,limit_up_count,-0.0214,0.0014,0.0228,1.68,166,158,0.004,0.0455,True,0.214,False
all,vp_div,1,limit_up_count_ma5,-0.0247,-0.0028,0.0219,1.67,167,165,0.0076,0.0376,True,0.213,False
all,vp_div,1,blow_rate,-0.0042,-0.0127,-0.0085,-0.67,166,167,-0.0021,-0.0129,True,-0.086,False
all,vp_div,1,max_board_height,-0.0009,-0.0069,-0.006,-0.43,158,152,-0.0022,-0.0096,True,-0.055,False
all,vp_div,1,lu_premium_1d,-0.0149,-0.0096,0.0054,0.4,167,167,0.0247,-0.0127,False,0.051,False
all,vp_div,3,limit_up_count,-0.0068,-0.0023,0.0045,0.35,165,157,-0.0187,0.0326,False,0.045,False
all,vp_div,3,limit_up_count_ma5,-0.0187,-0.0048,0.014,1.12,167,165,-0.0043,0.0345,False,0.143,False
all,vp_div,3,blow_rate,0.0055,-0.0033,-0.0088,-0.73,165,166,0.0065,-0.0215,False,-0.093,False
all,vp_div,3,max_board_height,0.0044,-0.0077,-0.012,-0.92,158,152,-0.0185,-0.0048,True,-0.117,False
all,vp_div,3,lu_premium_1d,-0.0049,-0.0012,0.0037,0.3,166,166,0.0074,0.002,True,0.038,False
all,vp_div,5,limit_up_count,-0.0045,-0.0013,0.0032,0.24,165,156,-0.0208,0.0337,False,0.031,False
all,vp_div,5,limit_up_count_ma5,-0.0158,-0.003,0.0128,1.01,165,165,-0.008,0.0368,False,0.129,False
all,vp_div,5,blow_rate,0.0047,0.0007,-0.004,-0.33,163,166,0.009,-0.0167,False,-0.042,False
all,vp_div,5,max_board_height,0.0059,-0.0044,-0.0103,-0.81,158,152,-0.0221,-0.0039,True,-0.103,False
all,vp_div,5,lu_premium_1d,0.0059,-0.0009,-0.0068,-0.53,166,164,-0.0012,-0.011,True,-0.068,False
all,vp_div,10,limit_up_count,-0.0151,-0.0153,-0.0002,-0.01,161,156,-0.0105,0.0161,False,-0.001,False
all,vp_div,10,limit_up_count_ma5,-0.026,-0.0084,0.0175,1.38,163,165,0.0077,0.0302,True,0.176,False
all,vp_div,10,blow_rate,-0.0122,-0.0035,0.0087,0.71,162,163,0.0081,0.0038,True,0.091,False
all,vp_div,10,max_board_height,-0.006,-0.0083,-0.0023,-0.18,156,152,-0.0106,-0.0045,True,-0.023,False
all,vp_div,10,lu_premium_1d,-0.0012,-0.0156,-0.0145,-1.12,165,162,-0.0234,-0.006,True,-0.143,False
all,gap,1,limit_up_count,0.024,0.0252,0.0012,0.08,166,158,-0.0102,0.0143,False,0.01,False
all,gap,1,limit_up_count_ma5,0.0287,0.0282,-0.0005,-0.04,167,165,-0.0195,0.0189,False,-0.005,False
all,gap,1,blow_rate,0.0205,0.031,0.0105,0.74,166,167,0.0028,0.018,True,0.094,False
all,gap,1,max_board_height,0.0308,0.0108,-0.02,-1.39,158,152,-0.0132,-0.0207,True,-0.177,False
