date,n_stocks,mkt_ret,limit_up_count,touched_count,max_board_height,blow_count,blow_rate,lu_premium_1d,lu_cont_n,limit_up_count_ma5
2025-12-11,4892,-0.016282919193007984,30,58,5,28,0.4827586206896552,0.012299869790464255,52,52.2
2025-12-12,4895,0.0031895442994199588,73,88,5,15,0.17045454545454544,0.03246208972126012,30,54.2
2025-12-15,4897,-0.0020732014563389057,57,91,6,34,0.37362637362637363,0.013517085467693866,73,52.2
2025-12-16,4897,-0.016170965541728647,40,63,4,23,0.36507936507936506,0.019888478797049348,57,50.4
2025-12-17,4897,0.008183732667174141,46,70,5,24,0.34285714285714286,-0.008752638057372709,40,49.2
2025-12-18,4898,0.0024117266408346274,55,82,6,27,0.32926829268292684,0.030681490232391983,45,54.2
2025-12-19,4896,0.014514119426947266,68,102,6,34,0.3333333333333333,0.02086229938956769,55,53.2
2025-12-22,4895,0.006473622242480351,78,117,7,39,0.3333333333333333,0.016560641223771502,67,57.4
2025-12-23,4897,-0.004689830488986742,51,79,8,28,0.35443037974683544,0.020251459642537176,78,59.6
2025-12-24,4897,0.012673313985628407,71,96,9,25,0.2604166666666667,0.012101974465783344,50,64.6
2025-12-25,4899,0.00993730735447557,77,102,10,25,0.24509803921568626,0.023276845876998967,71,69.0
2025-12-26,4899,-0.00019080133744140183,75,100,11,25,0.25,0.025415800142974503,77,70.4
2025-12-29,4902,-0.0013105793246396189,71,103,12,32,0.3106796116504854,0.0046970726450828735,75,69.0
2025-12-30,4901,-0.001921170944533518,53,90,10,37,0.4111111111111111,0.009111247901002276,69,69.4
2025-12-31,4901,0.0014969983646348415,52,74,6,22,0.2972972972972973,0.014984942428764138,52,65.6
2026-01-05,4902,0.016513870627748315,92,123,7,31,0.25203252032520324,0.0038256540937581414,52,68.6
2026-01-06,4903,0.012363177595141979,108,140,13,32,0.22857142857142856,0.0423873699256371,92,75.2
2026-01-07,4903,0.002311427722330971,67,121,14,54,0.4462809917355372,0.010644679116817768,106,74.4
2026-01-08,4902,0.010581334213200368,86,129,10,43,0.3333333333333333,0.03189939652142422,67,81.0
2026-01-09,4900,0.01390167550242671,90,148,11,58,0.3918918918918919,0.018249571426475115,85,88.6
2026-01-12,4902,0.02065223504512871,158,234,12,76,0.3247863247863248,0.04387524648847954,90,101.8
2026-01-13,4897,-0.011603128381632253,60,136,13,76,0.5588235294117647,0.020264708571766668,155,92.2
2026-01-14,4897,0.006548710932726144,93,163,5,70,0.4294478527607362,0.03641877367309627,59,97.4
2026-01-15,4898,-0.0035510429056632466,52,77,4,25,0.3246753246753247,-0.01206028603139874,93,90.6
